frame,id,online,offline,cv,offline_cx,offline_cy,cv_cx,cv_cy,center_err_px
1,0,1,1,1,101.97,130.01,101.93,129.98,0.06
1,1,0,1,1,1146.86,123.45,1147.02,123.49,0.17
1,2,0,1,1,1181.24,592.00,1181.26,591.92,0.08
1,3,0,1,1,99.27,597.01,99.28,597.08,0.07
1,4,0,0,0,0.00,0.00,0.00,0.00,
1,5,0,0,0,0.00,0.00,0.00,0.00,
1,6,0,0,0,0.00,0.00,0.00,0.00,
1,7,0,0,0,0.00,0.00,0.00,0.00,
2,0,1,1,1,101.97,129.99,102.04,130.01,0.08
2,1,0,1,1,1146.94,123.42,1147.22,123.82,0.49
2,2,0,1,1,1181.24,591.85,1181.39,591.77,0.17
2,3,0,1,1,99.25,596.65,99.38,597.00,0.38
2,4,0,0,0,0.00,0.00,0.00,0.00,
2,5,0,0,0,0.00,0.00,0.00,0.00,
2,6,0,0,0,0.00,0.00,0.00,0.00,
2,7,0,0,0,0.00,0.00,0.00,0.00,
3,0,1,1,1,101.97,129.99,101.93,130.06,0.08
3,1,0,1,1,1146.97,123.57,1147.00,123.75,0.18
3,2,0,1,1,1181.24,592.00,1181.59,591.97,0.35
3,3,0,1,1,99.27,596.85,99.18,596.74,0.14
3,4,0,0,0,0.00,0.00,0.00,0.00,
3,5,0,0,0,0.00,0.00,0.00,0.00,
3,6,0,0,0,0.00,0.00,0.00,0.00,
3,7,0,0,0,0.00,0.00,0.00,0.00,
4,0,1,1,1,101.98,130.00,101.96,130.02,0.03
4,1,0,1,1,1146.96,123.60,1146.97,123.52,0.07
4,2,0,1,1,1181.24,592.00,1181.23,591.82,0.18
4,3,0,1,1,99.29,596.85,99.25,596.89,0.06
4,4,0,0,0,0.00,0.00,0.00,0.00,
4,5,0,0,0,0.00,0.00,0.00,0.00,
4,6,0,0,0,0.00,0.00,0.00,0.00,
4,7,0,0,0,0.00,0.00,0.00,0.00,
