timestamp,event,button,delta
1786881914.519,down,right,0
1786881914.602,up,right,0
1786881972.100,down,right,0
1786881972.143,up,right,0
1786881983.385,down,left,0
1786881983.386,up,left,0
1786881983.483,down,left,0
1786881983.484,up,left,0
1786881983.640,down,left,0
1786881983.640,up,left,0
1786881983.641,down,left,0
1786881983.759,up,left,0
1786881983.759,down,left,0
1786881983.760,up,left,0
1786881983.760,down,left,0
1786881983.760,up,left,0
1786881984.084,scroll,,-1
1786881984.084,scroll,,-1
1786881984.085,scroll,,-1
1786881984.085,scroll,,-1
1786881984.085,scroll,,1
1786881984.085,scroll,,1
1786881984.085,scroll,,1
1786881984.085,scroll,,1
1786881984.544,down,right,0
1786881984.544,up,right,0
1786881984.544,down,right,0
1786881984.544,up,right,0
1786881984.669,down,right,0
1786881984.670,up,right,0
1786881984.670,down,right,0
1786881984.670,up,right,0
1786881984.760,down,right,0
1786881984.761,up,right,0
1786881985.319,down,right,0
1786881985.445,up,right,0
1786881986.150,down,right,0
1786881986.462,up,right,0
1786881986.910,down,right,0
1786881986.981,up,right,0
1786881987.517,down,right,0
1786881987.614,up,right,0
1786881988.171,down,right,0
1786881988.171,up,right,0
1786881988.515,down,right,0
1786881988.612,up,right,0
1786881990.634,down,left,0
1786881990.634,up,left,0
1786881990.635,down,right,0
1786881990.635,up,right,0
1786881990.847,down,right,0
1786881990.880,up,right,0
1786881991.500,down,right,0
1786881991.547,up,right,0
1786881993.092,down,right,0
1786881993.092,up,right,0
1786881994.953,down,right,0
1786881994.953,up,right,0
1786881995.232,scroll,,-1
1786881995.233,scroll,,-1
1786881995.233,scroll,,-1
1786881995.233,scroll,,-1
1786881995.233,scroll,,-1
1786881995.233,scroll,,-1
1786881995.334,scroll,,1
1786881995.335,scroll,,1
1786881995.335,scroll,,1
1786881995.335,scroll,,1
1786881995.335,scroll,,1
1786881996.087,scroll,,-1
1786881996.120,scroll,,-1
1786881996.152,scroll,,-1
1786881996.190,scroll,,-1
1786881997.487,down,middle,0
1786881997.494,up,middle,0
1786881998.432,down,middle,0
1786881998.437,up,middle,0
1786881999.692,scroll,,-1
1786881999.717,scroll,,-1
1786881999.782,scroll,,-1
1786882000.166,scroll,,1
1786882000.182,scroll,,1
1786882000.216,scroll,,1
1786882000.332,scroll,,1
1786882001.310,down,right,0
1786882001.530,up,right,0
1786882016.772,down,right,0
1786882016.772,up,right,0
1786882016.820,scroll,,-1
1786882016.820,scroll,,-1
1786882016.820,scroll,,-1
1786882016.820,scroll,,-1
1786882016.820,scroll,,-1
1786883028.504,up,all,0
